STATE,STCNTY,COUNTYNAME,POP19,TAXFILERS,NUMDEP,NUMELDER,INCOME,NUMFARM,INCTAX,TEMPERATURE
NY,NY Wayne County,Wayne County,89918,45150,23860,12810,2586548000,670,229414000,48.59895487
NY,NY Westchester County,Westchester County,967506,481330,287040,127160,80832656000,0,15866085000,50.8316893
NY,NY Wyoming County,Wyoming County,39859,17650,8720,5070,961771000,440,77600000,43.88896473
NY,NY Yates County,Yates County,24913,10980,6190,3700,620724000,710,56481000,48.04527123
OH,OH Adams County,Adams County,27698,11840,8000,2950,547101000,1090,37801000,52.98757377
OH,OH Allen County,Allen County,102351,50380,29130,13980,2805806000,830,266402000,51.06625316
OH,OH Ashland County,Ashland County,53484,23590,12250,6860,1256059000,860,106365000,49.90304771
OH,OH Ashtabula County,Ashtabula County,97241,43510,25060,12250,2078428000,840,167548000,48.38994546
OH,OH Athens County,Athens County,65327,23120,11100,6120,1199749000,580,108008000,52.0025748
OH,OH Auglaize County,Auglaize County,45656,22660,12530,6390,1414970000,880,135297000,51.41217227
OH,OH Belmont County,Belmont County,67006,28460,14290,8710,1775725000,600,192572000,53.0383946
OH,OH Brown County,Brown County,43432,16890,10360,4270,832744000,910,61794000,52.48687574
OH,OH Butler County,Butler County,383134,173370,107350,41910,11351053000,770,1181021000,53.99291687
OH,OH Carroll County,Carroll County,26914,9580,5100,2960,532652000,430,47580000,51.72832795
OH,OH Champaign County,Champaign County,38885,17890,9970,4830,956826000,670,78093000,50.94601547
OH,OH Clark County,Clark County,134083,60910,34920,17620,3156416000,580,272991000,50.83693801
OH,OH Clermont County,Clermont County,206428,103420,59940,26650,7435351000,770,824095000,53.96213633
OH,OH Clinton County,Clinton County,41968,21750,12650,5730,1319547000,790,135731000,51.79720669
OH,OH Columbiana County,Columbiana County,101883,47740,25300,14000,2418087000,1060,199160000,50.35582032
OH,OH Coshocton County,Coshocton County,36600,14680,8920,4040,686201000,740,48482000,51.17569369
OH,OH Crawford County,Crawford County,41494,20700,10730,6050,966410000,480,71020000,49.98336356
OH,OH Cuyahoga County,Cuyahoga County,1235072,617170,325960,163650,43640618000,20,5585470000,49.33591719
OH,OH Darke County,Darke County,51113,24210,13650,7070,1310604000,1330,114591000,50.93735178
OH,OH Defiance County,Defiance County,38087,18500,10010,5530,1011451000,580,85482000,50.07910027
OH,OH Delaware County,Delaware County,209177,99380,67330,23770,10711913000,630,1496770000,52.90567106
OH,OH Erie County,Erie County,74266,40430,19460,12740,2319553000,270,236235000,50.31541918
OH,OH Fairfield County,Fairfield County,157574,66290,40900,17160,4332384000,950,422548000,51.81987201
OH,OH Fayette County,Fayette County,28525,11890,7060,3010,555876000,310,44503000,52.7284553
OH,OH Franklin County,Franklin County,1316756,643100,370390,126370,44559612000,560,5370177000,49.32390663
OH,OH Fulton County,Fulton County,42126,23350,13140,6650,1356033000,760,118418000,49.1158851
OH,OH Gallia County,Gallia County,29898,12160,7900,3410,639349000,810,56473000,55.65095408
OH,OH Geauga County,Geauga County,93649,43900,26650,13930,4107519000,810,555241000,48.40498323
OH,OH Greene County,Greene County,168937,69610,37230,19910,4800449000,640,518800000,53.25430083
OH,OH Guernsey County,Guernsey County,38875,17870,9970,4850,956714000,840,82876000,53.37226301
OH,OH Hamilton County,Hamilton County,817473,405470,225560,99200,32651888000,360,4392446000,53.69500704
OH,OH Hancock County,Hancock County,75783,33640,17780,8940,2316968000,660,264695000,51.42638028
OH,OH Hardin County,Hardin County,31365,13270,7640,3650,654800000,600,49869000,50.92710272
OH,OH Harrison County,Harrison County,15040,6010,3400,1900,344112000,410,32659000,52.04006717
OH,OH Henry County,Henry County,27006,13620,7530,4100,782313000,700,67045000,49.73666369
OH,OH Highland County,Highland County,43161,17740,11360,4610,859051000,1010,65131000,52.48687574
OH,OH Hocking County,Hocking County,28264,11330,6590,2990,554697000,310,43618000,51.77091405
OH,OH Holmes County,Holmes County,43960,17610,13440,3470,953672000,1650,72942000,50.14975917
OH,OH Huron County,Huron County,58266,29310,16960,7910,1529144000,830,129762000,50.26018302
OH,OH Jackson County,Jackson County,32413,13350,8810,3240,630536000,470,46517000,53.58300225
OH,OH Jefferson County,Jefferson County,65325,29920,15450,9550,1603040000,430,148279000,52.47953896
OH,OH Knox County,Knox County,62322,27210,16060,7930,1638392000,1110,151022000,49.50678286
OH,OH Lake County,Lake County,230149,122480,58080,36590,7932907000,110,847671000,51.68740079
OH,OH Lawrence County,Lawrence County,59463,24850,15370,6420,1241329000,370,99740000,55.19145704
OH,OH Licking County,Licking County,176862,73090,42320,19530,4671072000,1160,468403000,51.06655146
OH,OH Logan County,Logan County,45672,24050,12890,6460,1345116000,920,117821000,50.50464217
OH,OH Lorain County,Lorain County,309833,146480,80270,41650,9200672000,640,969338000,50.29866684
OH,OH Lucas County,Lucas County,428348,197900,114080,50450,11707085000,210,1260310000,50.25571986
OH,OH Madison County,Madison County,44731,23780,14700,6110,1737321000,730,192108000,52.4235374
OH,OH Mahoning County,Mahoning County,228683,107860,55880,33230,5949399000,300,611183000,49.26696202
OH,OH Marion County,Marion County,65093,27570,16020,7370,1342468000,470,105984000,50.83219326
OH,OH Medina County,Medina County,179746,91610,49030,25680,6916591000,740,791706000,50.24840984
OH,OH Meigs County,Meigs County,22907,7870,4680,2180,362311000,340,25601000,55.18465598
OH,OH Mercer County,Mercer County,41172,20440,12280,5640,1268698000,1260,117605000,51.68363134
